日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2021年06月,新北市,762093185,42.13,485797620,26.85,2226685,0.12,558879322,30.89,1808996812,9.29
2021年06月,台北市,470480803,37.96,719859856,58.08,1219839,0.1,47900634,3.86,1239461132,6.36
2021年06月,桃園市,465679185,18.25,367883167,14.42,4635469,0.18,1713632360,67.15,2551830181,13.1
2021年06月,台中市,541911895,18.74,466557844,16.13,14933684,0.52,1868562464,64.61,2891965887,14.85
2021年06月,台南市,374090968,14.2,253369148,9.62,36816404,1.4,1969341814,74.78,2633618334,13.52
2021年06月,高雄市,456781231,18.04,443481828,17.51,20423651,0.81,1612012077,63.65,2532698788,13
2021年06月,宜蘭縣,84103377,28.55,60972885,20.7,6984965,2.37,142496881,48.38,294558108,1.51
2021年06月,新竹縣,117699954,13.77,82682847,9.67,1899174,0.22,652651431,76.34,854933407,4.39
2021年06月,苗栗縣,89345623,14.07,56560401,8.91,3306081,0.52,485767097,76.5,634979202,3.26
2021年06月,彰化縣,221873239,21.39,185115666,17.84,48605322,4.69,581851177,56.08,1037445404,5.33
2021年06月,南投縣,88940918,33.69,54471129,20.63,9836594,3.73,110763160,41.95,264011801,1.36
2021年06月,雲林縣,141187064,26.76,78321194,14.84,42714249,8.09,265442989,50.31,527665496,2.71
2021年06月,嘉義縣,86359125,32.66,46168051,17.46,27777316,10.51,104078625,39.37,264383117,1.36
2021年06月,屏東縣,155454937,36.7,90866346,21.45,65783634,15.53,111527638,26.33,423632554,2.17
2021年06月,台東縣,39765557,47.21,31056042,36.87,2721214,3.23,10682561,12.68,84225374,0.43
2021年06月,花蓮縣,62996942,29.34,59921193,27.91,2385775,1.11,89389959,41.64,214693869,1.1
2021年06月,基隆市,64363217,50.82,42342547,33.43,10701,0.01,19925446,15.73,126641911,0.65
2021年06月,新竹市,86866493,9.39,99422282,10.75,972978,0.11,737630819,79.75,924892571,4.75
2021年06月,嘉義市,49982490,49.16,41796222,41.11,736330,0.72,9164668,9.01,101679710,0.52
2021年06月,澎湖縣,15832459,42.33,16506791,44.13,413756,1.11,4650605,12.43,37403611,0.19
2021年06月,金門縣,9309195,40.73,9381756,41.05,284462,1.24,3878121,16.97,22853534,0.12
2021年06月,連江縣,1990266,34.07,3122492,53.45,5174,0.09,723784,12.39,5841716,0.03
2021年06月,合計,4387108123,22.52,3695657307,18.97,294693457,1.51,11100953632,56.99,19478412519,100
2021年05月,新北市,602469201,36.02,512336920,30.63,2375605,0.14,555336819,33.2,1672518545,8.79
2021年05月,台北市,390590617,31.83,779813023,63.55,1219460,0.1,55369370,4.51,1226992470,6.45
2021年05月,桃園市,323196354,13.19,358797024,14.64,4109546,0.17,1764413909,72,2450516833,12.88
2021年05月,台中市,431449836,15.24,478506831,16.91,14825355,0.52,1905524702,67.33,2830306724,14.88
2021年05月,台南市,289693680,11.31,263508738,10.28,33838649,1.32,1975320477,77.09,2562361544,13.47
2021年05月,高雄市,471588114,17.93,469166803,17.84,20892164,0.79,1667997215,63.43,2629644296,13.83
2021年05月,宜蘭縣,64055746,23.01,68589588,24.63,6257254,2.25,139534887,50.11,278437475,1.46
2021年05月,新竹縣,83437540,10.04,77926146,9.38,2014868,0.24,667348801,80.33,830727355,4.37
2021年05月,苗栗縣,77567401,11.78,60792922,9.23,3024409,0.46,517154898,78.53,658539630,3.46
2021年05月,彰化縣,180480202,18.14,180390718,18.13,42254624,4.25,591798318,59.48,994923862,5.23
2021年05月,南投縣,60960798,25.56,53832450,22.57,10218444,4.29,113455176,47.58,238466868,1.25
2021年05月,雲林縣,111710037,22.56,75538713,15.25,38628173,7.8,269338554,54.39,495215477,2.6
2021年05月,嘉義縣,73466056,29.19,48405605,19.23,25286233,10.05,104510984,41.53,251668878,1.32
2021年05月,屏東縣,133278219,31.89,98611379,23.59,65881990,15.76,120189526,28.76,417961114,2.2
2021年05月,台東縣,29357579,38.65,32789883,43.17,2684984,3.53,11130916,14.65,75963362,0.4
2021年05月,花蓮縣,46493914,23.02,62965655,31.18,2171279,1.08,90330092,44.73,201960940,1.06
2021年05月,基隆市,46136893,42.88,42450261,39.45,4334,0,19010877,17.67,107602365,0.57
2021年05月,新竹市,75383501,8.09,103304504,11.09,959977,0.1,752027416,80.72,931675398,4.9
2021年05月,嘉義市,38510928,40.74,46238011,48.92,614412,0.65,9162850,9.69,94526201,0.5
2021年05月,澎湖縣,14421306,37.78,18183388,47.64,400627,1.05,5166930,13.54,38172251,0.2
2021年05月,金門縣,9609126,39.08,10792972,43.89,268443,1.09,3918053,15.93,24588594,0.13
